Comment,Designator,Footprint,LCSC
1K,R1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C11702
100nF,C2,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525
180kΩ,R2,R_0805_2012Metric,C17501
TPS61240TDRVRQ1,U2,SON65P200X200X80-7N,C2862536
SK6805,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D3,D4,D5,D6,D7,D8,D9",LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,C2909056
A1SHB,Q1,SOT95P237X112-3N,C2926133
MLP2012V4R7MT0S1,L1,L_0805_2012Metric,C383376
"1,5MΩ",R3,R_0603_1608Metric,C4172
22μF,"C3,C4",C_0603_1608Metric,C59461
Conn_01x03,J1,PinHeader_1x03_P2.54mm_Vertical,
PC3,PC3,TestPoint_Pad_D1.0mm,
