pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
50.317973,-47.16,180.0,bottom,BT1,,BatteryHolder_Keystone_1060_1x2032,Battery,smt,True
42.8,-41.395,90.0,top,C2,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100nF,smt,True
64.08,-40.06,180.0,top,C3,,C_0603_1608Metric,22μF,smt,True
60.31,-40.06,0.0,top,C4,,C_0603_1608Metric,22μF,smt,True
53.26,-35.205,180.0,top,D1,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
67.72,-29.65,163.0,top,D10,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
45.73,-64.97,-44.0,top,D11,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
43.28,-30.99,149.0,top,D12,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
72.08,-32.8,130.0,top,D13,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
41.17,-60.59,-44.0,top,D14,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
47.285,-35.205,180.0,top,D15,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
74.08,-37.26,101.0,top,D16,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
36.76,-56.27,-44.0,top,D17,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
74.42,-42.22,82.0,top,D18,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
32.29,-52.04,-44.0,top,D19,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
59.44,-60.59,44.0,top,D2,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
72.15,-47.09,58.0,top,D20,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
28.37,-47.09,-58.0,top,D21,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
68.287088,-52.04,46.0,top,D22,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
26.46,-42.22,-82.0,top,D23,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
63.84,-56.27,44.0,top,D24,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
26.61,-37.26,-102.0,top,D25,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
28.52,-32.8,-128.0,top,D3,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
57.35,-30.99,-149.0,top,D4,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
54.91,-64.97,43.0,top,D5,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
33.05,-29.65,-161.0,top,D6,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
62.44,-29.06,-171.0,top,D7,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
50.23,-69.4,0.0,top,D8,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
38.18,-29.06,171.0,top,D9,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt,True
47.645,-57.96,90.0,top,J1,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht,True
65.3,-43.33,90.0,top,L1,,L_0805_2012Metric,MLP2012V4R7MT0S1,smt,True
50.17,-53.47,90.0,top,MCU1,,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,ATtiny816-MNR,smt,True
54.59,-45.7825,-90.0,top,Q1,,SOT95P237X112-3N,A1SHB,smt,True
50.317973,-41.105,90.0,top,Q2,,SOT95P237X112-3N,BSS138,smt,True
42.81,-44.815,-90.0,top,R1,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1K,smt,True
58.9,-43.26,90.0,top,R2,,R_0805_2012Metric,180kΩ,smt,True
62.08,-45.79,180.0,top,R3,,R_0603_1608Metric,"1,5MΩ",smt,True
53.98,-42.56,180.0,top,R4,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,10K,smt,True
53.98,-40.81,180.0,top,R5,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,10K,smt,True
38.13,-43.115,0.0,top,SW-ANIM1,,SW_Push_1P1T_XKB_TS-1187A,TS-1187A-B-A-B,smt,True
66.45,-40.64,180.0,bottom,TP1,,TestPoint_Pad_D1.0mm,PC3,tht,True
71.351968,-40.64,180.0,bottom,TP2,,TestPoint_Pad_D1.0mm,PC3,tht,True
50.17,-61.73,0.0,top,TP4,,TestPoint_Pad_D1.0mm,PC3,tht,True
62.05,-42.83,0.0,top,U2,,SON65P200X200X80-7N,TPS61240TDRVRQ1,smt,True
